program,configuration,instructions,cycles,ipc,issue_stall_cycles,cdb_wait_instruction_cycles,operand_wait_instruction_cycles,memory_order_wait_instruction_cycles,fu_wait_instruction_cycles
hazards,default,6,15,0.4,0,0,12,0,1
hazards,two_cdbs,6,15,0.4,0,0,12,0,1
hazards,more_stations,6,15,0.4,0,0,12,0,1
hazards,two_compute_units,6,15,0.4,0,1,12,0,0
hazards,wider_resources,6,15,0.4,0,0,12,0,0
parallel,default,6,12,0.5,0,1,2,0,4
parallel,two_cdbs,6,12,0.5,0,0,1,0,5
parallel,more_stations,6,12,0.5,0,1,2,0,4
parallel,two_compute_units,6,10,0.6,0,0,0,0,0
parallel,wider_resources,6,10,0.6,0,0,0,0,0
cdb_contention,default,5,11,0.45454545454545453,0,1,3,0,3
cdb_contention,two_cdbs,5,11,0.45454545454545453,0,0,2,0,4
cdb_contention,more_stations,5,11,0.45454545454545453,0,1,3,0,3
cdb_contention,two_compute_units,5,10,0.5,0,1,2,0,0
cdb_contention,wider_resources,5,10,0.5,0,0,2,0,0
memory,default,6,26,0.23076923076923078,0,0,41,11,0
memory,two_cdbs,6,26,0.23076923076923078,0,0,41,11,0
memory,more_stations,6,26,0.23076923076923078,0,0,41,11,0
memory,two_compute_units,6,26,0.23076923076923078,0,0,41,11,0
memory,wider_resources,6,26,0.23076923076923078,0,0,41,11,0
